,x,y,d,r,t
0,170,60,75,50,11.689
1,90,120,75,50,7.002
2,180,200,75,50,
3,80,270,75,50,
4,150,350,75,50,
5,80,420,80,55,
6,120,510,75,50,
7,350,60,75,50,
8,420,120,75,50,
9,350,200,75,50,
10,420,270,75,50,
11,380,350,75,50,
12,420,420,80,55,
13,390,510,75,50,
14,170,60,75,50,
15,90,120,75,50,
16,180,200,75,50,
17,80,270,75,50,
18,150,350,75,50,
19,80,420,80,55,
20,120,510,75,50,
21,350,60,75,50,
22,420,120,75,50,
23,350,200,75,50,
24,420,270,75,50,
25,380,350,75,50,
26,420,420,80,55,
27,390,510,75,50,
28,170,60,75,50,
29,90,120,75,50,
30,180,200,75,50,
31,80,270,75,50,
32,150,350,75,50,
33,80,420,80,55,
34,120,510,75,50,
35,350,60,75,50,
36,420,120,75,50,
37,350,200,75,50,
38,420,270,75,50,
39,380,350,75,50,
40,420,420,80,55,
41,390,510,75,50,
